               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07258,            0.029001,             0.03376,           0.0038958,             0.34091,            0.004207,           0.0015034,            0.026234,            0.018639,            0.015111,              0.0874,              0.0014,              0.0014
                   1,            0.053688,            0.026536,            0.031719,             0.38053,             0.32575,             0.30649,             0.17702,            0.014181,             0.01286,            0.016244,            0.073828,           0.0028282,           0.0028282
                   2,            0.042926,            0.023595,            0.033274,             0.11641,             0.55835,             0.28095,             0.16819,            0.015858,           0.0090547,            0.015494,            0.060182,           0.0041822,           0.0041822
                   3,            0.032887,            0.019201,            0.027228,              0.3684,                 0.6,             0.30277,             0.18967,            0.012858,           0.0083511,            0.015383,            0.046462,           0.0054619,           0.0054619
                   4,            0.033304,            0.018363,            0.029609,             0.35411,               0.475,             0.25802,             0.15179,            0.021872,            0.007042,            0.015634,            0.032667,           0.0066674,           0.0066674
                   5,            0.033602,            0.016069,            0.028102,             0.16074,             0.74545,             0.29669,             0.18805,            0.016671,           0.0059204,            0.015145,            0.018799,           0.0077986,           0.0077986
                   6,            0.034555,            0.015556,            0.030502,              0.1852,             0.52045,             0.28571,             0.15977,            0.017017,           0.0052221,            0.014704,            0.008515,            0.008515,            0.008515
                   7,            0.026144,            0.015114,            0.027149,             0.23157,                0.95,             0.37109,             0.22783,            0.011457,           0.0056653,            0.014468,            0.008515,            0.008515,            0.008515
                   8,             0.02376,            0.014161,            0.026986,              0.2297,             0.95559,             0.41575,             0.23642,            0.012658,            0.006436,            0.014148,           0.0082675,           0.0082675,           0.0082675
                   9,            0.023964,            0.013399,             0.02999,             0.21719,             0.91359,             0.37761,             0.23791,            0.012609,           0.0060666,            0.014171,             0.00802,             0.00802,             0.00802
                  10,            0.025434,            0.013502,            0.033808,             0.23345,                   1,             0.40793,             0.26343,           0.0095124,           0.0069072,            0.014112,           0.0077725,           0.0077725,           0.0077725
                  11,             0.02124,            0.013978,            0.027981,             0.23026,                   1,             0.34659,             0.22281,           0.0080828,           0.0062571,            0.014085,            0.007525,            0.007525,            0.007525
                  12,            0.024202,            0.013463,            0.029795,              0.2343,                   1,             0.33777,             0.20317,           0.0086324,             0.00553,            0.014401,           0.0072775,           0.0072775,           0.0072775
                  13,             0.01974,            0.013029,            0.029993,              0.2254,             0.88875,             0.38198,             0.23989,           0.0076473,           0.0056212,            0.014231,             0.00703,             0.00703,             0.00703
                  14,            0.021755,            0.012995,            0.028551,             0.23506,                   1,             0.37715,              0.2561,           0.0066349,           0.0042873,            0.014353,           0.0067825,           0.0067825,           0.0067825
                  15,            0.019553,            0.013543,            0.027689,             0.24264,                   1,             0.39933,              0.2568,           0.0081363,           0.0038978,             0.01438,            0.006535,            0.006535,            0.006535
                  16,            0.018085,            0.012441,            0.026588,             0.24237,             0.92727,             0.35007,             0.26711,            0.005825,           0.0036964,            0.014626,           0.0062875,           0.0062875,           0.0062875
                  17,            0.016201,            0.012426,             0.02711,             0.24181,                   1,              0.3302,             0.26046,           0.0062337,           0.0035521,            0.014642,             0.00604,             0.00604,             0.00604
                  18,            0.015573,            0.011879,            0.027242,             0.24641,                   1,             0.34546,              0.2564,           0.0051164,           0.0037445,            0.014454,           0.0057925,           0.0057925,           0.0057925
                  19,            0.023091,            0.011942,            0.033513,             0.24689,                   1,             0.38512,             0.32022,           0.0050217,           0.0030668,            0.014294,            0.005545,            0.005545,            0.005545
                  20,            0.016215,            0.012205,             0.02863,             0.24673,                   1,             0.41382,             0.32971,           0.0054401,           0.0032991,            0.014199,           0.0052975,           0.0052975,           0.0052975
                  21,            0.015283,            0.012696,              0.0272,              0.2458,                   1,             0.38146,             0.29536,           0.0059248,           0.0032283,            0.014188,             0.00505,             0.00505,             0.00505
